id,pk,artist,title,category,genre,cdextra,year,track01,track02,track03,track04,ClusterID
2819,a40c3b0b,Peter White,Promenade,jazz,Jazz,,1993,Promenade,Undercover,Piece of the City,Peeto Bandito,2819
2823,a40d2f0e,The Jazzmasters,The Jazzmasters4,jazz,,,,valley of the harps,feeling blue,visions of illusion,lifetime,2823
2890,a609550f,Nat King Cole,Vaya Con Dios,jazz,jazz,,,Ansiedad,Perfidia,Maria Elena,Solamente una vez,2890
2891,a609560f,Nat King Cole,En Espanol (Disk 1),jazz,,,,Ansiedad,Perfidia,Maria Elena,Solamente una vez,2890
2950,a70d7f0c,Eros Ramazzotti,Donde Hay Musica,jazz,Ballad,,1996,Donde Hay Musica,Estrella Gemela,La Cosa Mas Bella,La Aurora,2950
2957,a70ef00c,Kenny G,The Moment,jazz,Jazz,,,The Moment,Passages,Havana,Always,2957
3086,ab07fc0e,The Drifters,Under The Boardwalk,jazz,Other,ID3G: 12,,Under The Boardwalk,I Count The Tears,Up On The Roof,Please Stay,3086
3096,ab0c630c,The Philosopher Kings,The Philosopher Kings,jazz,,,,Turn My Head Around,Lay My Body Down,All Dressed Up For San Francisco,Can't Get My Mind Around You,3096
3106,ab0edd0c,Kenny G,The Moment,jazz,Jazz,YEAR: 1996 ID3G: 8,1996,The Moment,Passages,Havana,Always,2957
3123,ac0c630c,Philosopher Kings,the Philosopher Kings,jazz,,,,Turn My Head Around,Lay My Body Down,All Dressed Up for San Francisco,Can't Get My Mind Around You,3096
3125,ac0d240c,Bjork,Vespertine,jazz,,,,Hidden Place,Cocoon,It's Not Up To You,Undo,3125
3134,ac0ead0c,Metallica,Metallica,jazz,Heavy Metal,,1991,Enter Sandman,Sad But True,Holier Than Thou,The Unforgiven,3134
3155,ad0b1e0d,Corduroy,Out Of Here,jazz,Acid Jazz,ID3G:   8,1995,Don't Wait For Monday,Practise What You Preach,Red Mercury,End Of The Rainbow,2813
3159,ad0c080d,Manuel Barrueco,Nylon & Steel,jazz,Jazz,,2001,Manuel Barrueco / Odeon,"Manuel Barrueco,Al Di Meola / Beyond the Mirage","Manuel Barrueco,Al Di Meola / Azzurra","Manuel Barrueco,Al Di Meola / The Grand Passion",3159
3185,ae09d90d,Glenn Miller,The Original Glenn Miller Reunion 1954,jazz,,,,Moonlight Serenade,Anvil Chorus,Song of The Volga Boatmen,Tuxedo Junction,3185
3192,ae0c400c,Vanessa Williams,The Sweetest Days,jazz,Pop,,1995,Intro-lude,The Way That You Love,Betcha Never,The Sweetest Day,3192
3215,af07ef0e,Greatest Hits?The Drifters,Under The Boardwalk,jazz,Oldies,,,Under The Boardwalk,I Count The Tears,Up On The Roof,Please Stay,3086
3222,af0a7d0d,LISA ONO,DREAM,jazz,,,,ON THE SUNNY SIDE OF THE STREET,MOONLIGHT SERENADE,UNDESIDED,TEAR FOR TWO,3222
3296,a00a430c,James Taylor,Greatest Hits,misc,Easy Listening,,1976,Something in the way she moves,Carolina in my mind,Fire and Rain,Sweet baby james,2139
3356,a00c200b,Paul Oakenfold,Bunkka,misc,Dance,,2002,Ready Steady Go,Southern Sun,Time of Your Life,Hypnotised,3356
3383,a00db40c,Ismael Serrano,Los para sos desiertos,misc,Canci n de autor,,2000,Km. 0,La mujer m s vieja del mundo,No estar s sola,La cita,3383
3395,a00efd0b,The Crystal Method - Tweekend,The Crystal Method - Tweekend,misc,,,,Phd,"Wild, Sweet, Cool",Roll It Up,Murder,3395
3475,a108810c,Rob Zombie,Hellbilly deluxe,misc,,,,Call of the Zombie,Superbeast,Dracula,Living dead girl,3475
3517,a10b280c,Die Krupps,Volle Kraft Voraus,misc,,,,Volle Kraft voraus,Goldfinger,Fur einen Augenblick,Tod und Teufel,3517
3529,a10b920d,Los Ca os,Agua De Luna,misc,Pop,,2002,Agua De Luna,A Lo Mejor Me Quer as,Sin Decirnos Nada,Si T  Bailas Para Mi,3529
3539,a10c230d,Aqua,Aquarius,misc,Other,YEAR: 2000,2000,Cartoon Heroes,Around the World,Freaky Friday,We Belong to the Sea,3539
3670,a209c80c,Nirvana,Nevermind,misc,Grunge,,,Smells like teen spirit,In bloom,Come as you are,Breed,3670
3678,"a20a200d,a50a200d",Kate Bush,The Kick Inside,misc,Rhythmic Soul,YEAR: 1978,1978,Moving,The Saxophone Song,Strange Phenomena,Kite,3678
3710,a20b090c,                ,                    ,misc,,,,                        ,          ,                    ,                     ,2004
3722,a20b660c,Radiohead,The Bends,misc,Other,ID3G:  12,1995,Planet Telex,The Bends,High And Dry,Fake Plastic Trees,3722
3757,a20d160b,Depeche Mode,The singles 86-98 CD 2,misc,Electronic,YEAR: 1998,1998,I feel you,Walking in my shoes,Condemnation,In your room,3757
3792,a20f7f0c,Placebo,Without You I'm Nothing,misc,,,,Pure Morning,Brick Shithouse,You Don't Care About Us,Ask For Answers,3792
3793,a20f8d0c,faithless,outrospective remixes,misc,Dance,,2003,one step too far remix,we come 1 remix,lotus remix,crazy english summer remix,3793
3851,a308940c,LOTTE OG S REN,Tr k din kat i halen,misc,,,,Tr k din kat i halen,Karneval,Mario og Rosita,Det  min f dselsdag,3851
3931,a30bba0c,Shakespears Sister,Hormonally Yours,misc,,,,Goodbye Cruel World,I Don't Care,My 16th Apology,Are We In Love Yet,3931
3976,a30dac0d,Jay-Z: MTV Unplugged,Jay-Z: MTV Unplugged,misc,,,,Izzo (H.O.V.A),Takeover,"Girls, Girls, Girls","Jigga What, Jigga Who",3976
3990,a30e9b0b,Grieg,Millenium Classics 5,misc,Classical,,,Piano Concerto - Allegro Molto Moderato,Piano Concerto - Adagio,Piano Concerto - Allegro Moderato E Marcato,Peer Gynt Suite 1 - Morning,3990
4108,a40b670c,t.A.T.U.,200 Kmh In The Wrong Lane,misc,Other,YEAR: 2002 ID3G:  12,2002,Not Gonna Get Us,All The Things She Said,Show Me Love,30 Minutes,4108
4114,a40b920d,Los Ca os,Agua De Luna,misc,Pop,,2002,Agua De Luna,A Lo Mejor Me Querias,Sin Decirnos Nada,Si Tu Bailas Para Mi,3529
4124,a40c350c,Dido,No Angel - 192,misc,Pop g n ral,,,Here With Me,Hunter,Don't Think Of Me,My Lover's Gone,4124
4140,a40cf50c,Bjork - Vespertine,Bjork - Vespertine,misc,,,,Aurora,Blueprint,New,Crave,3125
4145,a40d380d,Lou - X,"La Realt , la Lealt  e lo Scontro",misc,Rap,Hip-Hop,1998,Intro,il mattino ha l'oro in bocca,vittime e complotti,a spasso per l'impero,4145
4178,a40ebf0d,BoA,Next World,misc,JPop,YEAR: 2003,2003,PALM DRIVE feat. BoA & FIRSKLAS / HOLIDAY,BoA / 奇蹟 (SOUL'd OUT Remix),westlife featuring BoA / Flying Without Wings,BRATZ feat. BoA & Howie D.(Backstreet Boys) / Show Me What You Got (DJ WATARAI REMIX),4178
4179,a40ecc0d,Justin Timberlake,Justified,misc,Pop,,2002,Seniorita,Like i love you,(oh no) What you got,Take it from here,4179
4184,a40f510e,garbage,beautifulgarbage,misc,,,,shout your mouth,androgyny,can't cry these tears,til the day I die,4184
4190,a40fb30d,Aqua,Aquarius,misc,Rock,www.aqua.dk,2000,Cartoon Heroes,Around The World,Freaky Friday,We Belong To The Sea,3539
4266,"a20a200d,a50a200d",Kate Bush,The Kick Inside,misc,Rhythmic Soul,YEAR: 1978,1978,Moving,The Saxophone Song,Strange Phenomena,Kite,3678
4271,a50a430c,James Taylor,James Taylor Greatest Hits,misc,Swing,YEAR: 1976 ID3G:  83,1976,"SomethingInTheWaySheMoves(1968,JamesTaylor)","CarolinaInMyMind(1968,JamesTaylor)","FireAndRain(1969,JamesTaylor)","SweetBabyJames(1970,JamesTaylor)",2139
4282,a50ae50c,La Oreja de Van Gogh,El viaje de Copperpot,misc,Pop,,,Cuidate,Soledad,Par s,La Playa,4282
4291,a50b100e,Britney Spears,Britney,misc,Popular,,2001,I'm A Slave 4 U,Overprotected,Lonely,"I'm Not A Girl, Not Yet A Woman",4291
4292,a50b270c,Q-Tip,Amplified,misc,Hip-Hop,,1999,Wait Up,Higher,Breathe And Stop,Moving With U,4292
4297,a50b630d,Avril Lavigne,Let Go,misc,Rock,That's the right one.,2002,Losing Grip,Complicated,Sk8er Boi,I'm With you,4297
4306,a50bc90d,Avril Lavigne,Let Go,misc,Rock/Pop,,,Losing Grip,Complicated,Sk8er Boi,I'm With You,4297
4348,a50dba0c,Frank Zappa,Joe's Garage (Disk 1),misc,Rock,,1979,The Central Scrutinizer,Joe's Garage,Catholic Girls,Crew Slut,4348
4358,"a00e780e,a50e770e",Jay-Z,Vol.2... Hard Knock Life,misc,Hip-Hop,,1998,Intro - Hand It Down (feat. Memphis Bleek),Hard Knock Life (The Ghetto Anthem),If I Should Die (feat. Da Ranjahz),Ride Or Die,4358
4384,a510790b,Robert Miles,Dreamland,misc,,,,Children (Dream Version),Fable (Message Version),Fantasya,Landscape,4384
4395,a511050d,Marianne Faithfull,Blazing Away,misc,Ballad,,1990,Les prisons du roy,Strange weather,Guilt,Working class hero,4395
4419,a6082d0b,Jefferson Airplane,Surrealistic Pillow,misc,Rock,"YEAR: 1967\nMarty Balin - guitar, vocals\nJorma Kaukonen - lead guitar,",1967,She Has Funny Cars,Somebody To Love,My Best Friend,Today,4419
4441,a609fc0c,Nirvana,Nevermind,misc,Grunge,YEAR: 1991,1991,Smells Like Teen Spirit,In Bloom,Come As You Are,Breed,3670
4451,a60a7d0d, ?野リサ,DREAM,misc,Japanese Unclassifiable,,,On the Sunny Side of the Street,Moonlight Serenade,Undecided,Tea for Two,3222
4481,a60b5e0b,Ruby,Salt Peter,misc,Other,,1995,Flippin' Tha Bird,Salt Water Fish,Heidi,Tiny Meat,4481
4490,a60bb80b,Tom Waits,Small Change,misc,Jazz,,1976,Tom Traubert's Blues,Step Right Up,Jitterbug Boy,I Wish I Was In New Orleans,4490
4508,a60c850c,Radiohead,OK Computer,misc,Pop,,1997,Airbag,Paranoid Android,Subterranean Homesic Alien,Exit Music (For a Film),4508
4520,a60d3b0d,Shane Barnard and Shane Everett,Psalms,misc,Misc,,2002,Breath of God,Unto You,Psalm 143 (Revive Me),The Answer,2619
4563,a610290b,the criystal method,tweekend,misc,Electronic,,2001,phd,"the criystal method / wild, sweet and cool",the criystal method / roll it up,the criystal method / murder,3395
4586,a611cc0d,Ministry,Power Department,misc,Industrial,Live in Omaha 1990,1992,Breathe,The missing,Delty,Man should surrender,4586
4588,a611f70d,Fuse,Dimension Intrusion,misc,,,,A New Day,F.U.,SIAC,Dimension Intrusion,4588
4601,a708480c,Alkaline Trio,From Here to Infirmiry,misc,,,,Cringe,Cop,San Francisco,Nose over tail,2026
4613,a7091b0b,Amy Grant,A Christmas to Remember,misc,Holiday,Featuring Patrick Williams and his Orchestra and Ronn Huff and the Nashville Studio Orchestra,1999,A Christmas to Remember,Christmas Can't Be Very Far Away,Silent Night,Christmas Lullaby,4613
4631,a70a370d,Billy May - Glenn Miller Band,The Original Reunion Of The Glenn Miller Band,misc,Big Band,YEAR: 1986,1986,Moonlight Serenade Intro,Anvil chorus,Story,Little brown jug,3185
4676,a70be90c,Nelly Furtado,"Whoa, Nelly!",misc,Undefined,,2000,"Hey, Man!",Shit On The Radio,Baby Girl,Legend,4676
4684,a70c390d,The Jazzmasters,The Jazzmasters 4,misc,Jazz / Smooth,YEAR: 2003,2003,Vally of the Harps,Feeling Blue,Visions of Illusion,Lifetime,2823
4709,a70d600c,globe,globe,misc,,,,Give You,Feel Like Dance,Gonna Be Alright,DEPARTURES (ALBUM MIX),4709
4710,a70d610c,globe,globe,misc,misc,,,GIVE YOU,Feel Like dance,GONNA BE ALRIGHT,DEPARTURES (ALBUM MIX),4709
4732,a70f0b0d,Justin Timberlake,Justified,misc,R&B,YEAR: 2002 ID3G: 14,2002,Senorita,Like I Love You,What You Got,Take It From Here,4179
4733,a70f160c,         International,         +,misc,Russian Pop,,2003,         feat.  .        ,         feat.  .     ,        feat.  .           ,       _         feat.  .        ,2252
4774,a7120d0d,F.U.S.E,Dimension Intrusion,misc,,Ritchie Hawtin's (aka plastikman) first album.\n,,a new day,f.u,stac,dimension intrusion,4588
4804,a809490c,Bu at Okud awa, yczenia dla przyjaci ,misc,,Nagra  dokonano podczas 12-go Przegl du Piosenki Aktorskiej,,Piosenka o Mozarcie,Piosenka o Arbackim Emigrancie,Szybko Mija M odo  ,Znak,4804
4843,a80b090b,Jimmy Eat World,Bleed American,misc,Alt Rock,YEAR: 2001,2001,Bleed American,A Praise Chorus,The Middle,Your House,4843
4851,a80b8e0c,Toni Braxton,The Heat,misc,,,,He Wasn't Man Enough,The Heat,Spanish Guitar,Just Be A Man About It,4851
4876,a80cd80c,Various Artists,International DeeJay Gigolos CD Five,misc,Electronic,YEAR: 2001 ID3G:  52,2001,Inform3r / Random Jazz,Mitsu / Shylight,Tuxedomoon / What Use,Filippo Naughty Moscatello / Final Signal,4876
4886,a80d370d,Luo - X,La realt  la lealt  e lo scont,misc,Rap,Hip-Hop,1998,Intro,il mattino ha l'oro in bocca,vittime e complotti,a spasso per l'impero,4145
4895,a80d960c,Faithless,Outrospective,misc,other,,2001,Donny X,Not Ennuf Love,We Come One,Crazy English Summer,4895
4905,a80e690e,Britney Spears,Britney,misc,Pop,,2001,I'm A Slave 4 U,Overprotected,Lonely,"I'm Not A Girl, Not Yet A Woman",4291
4911,a80f040d,Justin Timberlake,Justified,misc,Other,ID3G:  12,,Senorita,Like I Love You,What You Got,Take It From Here,4179
4959,a812730c,Deep Dish,Yoshiesque 2 (CD2),misc,Dance,,2001,KOT - Finally (MAW Sting Reprise Mix),Ben Shaw - So Strong (Cass & Slide Remix),Faze Action - Samba (The S-Mans Darkstar Mix),Dusted/KC Flight - Remember To Respect/Voices (Deep Dish Mix),4959
4975,a908990d,Mormon Tabernacle Choir,It's Christmas,misc,Christmas,YEAR: 1989,1989,Deck The Hall,Away In A Manger,O Holy Night,The First Noel,4975
4988,a909860e,V mm l Spellemannslag,V mm l'n,misc,,,,V mm lstev,H vlerivisa,Peder og Hamarforsens brus,Vinterbruden,2317
5010,a90ac60c,Caprice,Elvenmusic,misc,,,,The Realm Of Faerie,Princess Mee,Song Of The Wind,Far Over Misty Mountains,5010
5025,a90b630b,Lenine,Na Press o,misc,,,,Jack Soul Brasileiro,Na Press o,Paciencia,Meu Amanh  (Intuindootil),5025
5052,a90c120e,divididos,la era de la boludez,misc,Rock,,,Pista 01,Pista 02,Pista 03,Pista 04,5052
5099,a90dee0c,Disneyland,The Haunted Mansion: 30th Anniversary,misc,Theme Park,,1999,Walt Disney,Welcome,The Haunted Mansion ...at Disneyland,The Haunted Mansion ...at Walt Disney World,5099
5122,a90f160b,The Crystal Method,Tweekend,misc,Techno,,,Phd,"Wild, Sweet, Cool",Roll It Up,Murder,3395
5185,aa099a0c,Spineshank,The Height Of Callousness,misc,Industrial,,,Asthmatic,The Height Of Callousness,Synthetic,New Disease,5185
5204,aa0ac40d,Foo Fighters,Foo Fighters,misc,Grunge,ID3G: 6,,Doll,Monkey Wrench,Hey. Johnny Prak!,My Poor Brain,5204
5205,aa0ac60c,Caprice (by VaroX),Elvenmusic,misc,,,,The realm of faerie,Princess mee,Song of the wind,Far over misty mountains,5010
5238,aa0c6a0d,Piratas,Ultrasonica,misc,,,,Teching,El equilibrio es imposible,A os 80,Disimular,5238
5289,aa11221c,KBS,KBS TV  ȭ  ȭ  뷡    ,misc,Soundtrack,KBS TV Animation Songs,2000,     ĸƾ   츣  ,       ̰ ,  己,    õ       I,5289
5324,ab08640b,Tracy Chapman,Tracy Chapman,misc,,,1988,Talkin' bout a revolution,Fast car,Across the LInes,Behind the wall,5324
5360,ab0a7a0c,Molotov, D nde jugaran las ni as?,misc,,,1997,Que no te haga bobo Jacobo,Molotov Coktail Party,Voto latino,Chinga tu madre,5360
5371,ab0af319,Console,Rocket in the Pocket,misc,,,,My Dog Eats Beasts,Gulls Galore,Dolphin Los,Pigeon Party,5371
5392,ab0bac0d,Pe. Marcelo Rossi,M sicas para louvar ao Senhor,misc,Gospel,YEAR: 1998 ID3G: 38,1998,Quero mergulhar nas profundezas,Corsa,Esp rito,Basta querer,5392
5394,ab0bbe0d,Barenaked ladies,Maroon,misc,Other,YEAR: 2000 ID3G: 12,2000,Too little too late,Never do anything,Pinch me,Go home,5394
5418,ab0cf00d,Barenaked Ladies,Maroon,misc,Rock,YEAR: 2000 ID3G: 17,2000,Too little too late,Never do anything,Pinch me,Go home,5394
5426,ab0d340d,Alien Ant Farm,ANThology,misc,Crossover,YEAR: 2000,2000,Courage,Movies,Flesh And Bone,Whisper,5426
5443,ab0e3b0c,Nando Reis,A Letra A,misc,Acoustic,,,A Letra A,E Tudo Mais,Dentro do Mesmo Time,Hoje Mesmo,2440
5458,ab0fc80c,Richard Bona,Munia/The Tail,misc,Fusion,YEAR: 2003,2003,Bonatology(Incantation),Kalabancoro,Sona Mama,Painting A Wish,2771
5477,ab10f90c,The Cure,Disintegration,misc,Darkwave,,1989,Plainsong,Pictures Of You,Closedown,Love Song,5477
5542,ac0a690e,Voodoo Glow Skulls,The Band Geek Mafia,misc,,,,Human Pi ata,Symptomatic,Love Letter,They Always Come Back,5542
5549,ac0ab00c,Superstars,United,misc,,,2003,Superstars / We have a dream,Superstars / Tonight,Superstars / Cry on my Shoulder,Superstars / A Young Generation,5549
5574,ac0baa0c,Savage Garden,Savage Garden,misc,Pop,ID3G: 13,,To the Moon and Back,Carry On Dancing,Tears of Pearls,I Want You,5574
5577,ac0bb00b,AC DC,Ballbreaker,misc,Hard Rock,,1995,Hard As A Rock,Cover You In Oil,The Furor,Boogie Man,5577
5657,ac10750b,Robert Miles,Dreamland,misc,Dream,ID3G:  55,,Children (Dream Version),Fable (Message Version),Fantasya,Landscape,4384
5664,ac10ab0b,IRON MAIDEN,The X Factor,misc,Metal,YEAR: 1995,1995,Sign Of The Cross,Lord Of The Flies,Man On The Edge,Fortunes Of War,5664
5681,ac11730c,Robert Miles,Dreamland [BVCP-993],misc,Electronic,,1996,One And One (Radio Version),Children (Eat Me Edit),Children (Dream Version),Fable (Message Version),4384
5731,ad0ac00c,Tom Waits,Closing Time,misc,,,,Ol' '55,I Hope That I Don't Fall In Love With You,Virginia Avenue,Old Shoes (& Picture Postcards),5731
5746,ad0b9b0c,Nelly Furtado,"Whoa, Nelly!",misc,Pop,Dreamworks Records,2001,01-Hey Man,02-On The Radio (Remember the Days),03-Baby Girl,04-Legend,4676
5754,ad0bc10c,Shakespears Sister,Hormonally Yours,misc,,Copyright 1992 London Recordings,,Goodbye Cruel World,I Don't Care,My 16th Apology,Are We In Love Yet,3931
5776,ad0c800c,Cousteau,Sirena,misc,Acoustic Pop,YEAR: 2002 ID3G: 20,2002,Nothing So Bad,(Damn These) Hungry Times,Talking To Myself,Peculiarly You,5776
5780,ad0ca80e,Ann es 80 #1,chant,misc,Vocal,,2001,Africa,Banana split,C'est la ouate,Etienne Etienne,5780
5782,ad0cae0e,Ann es 80,instrumental,misc,Vocal,,2001,Africa,Banana split,C'est la ouate,Etienne Etienne,5780
5830,ad0f8b0d,Silicon Dream,Time Machine,misc,Other,ID3G:  12,,Time Machine,Jimmy Dean loved Marilyn - Film ab,Corleone Speaking,Holiday in St. Tropez - Eating Pizza in Ibiza,5830
5835,ad0ffe0b,Fat Boy Slim,Halfway Between The Gutter And The Stars,misc,Misc,,2000,Talking Bout My Baby,Star 69,Sunset (Bird Of Prey),Love Life (Macy Gray),5835
5867,ad12530d,Heitor Villa-Lobos,Alma Brasileira,misc,Classical,Heitor Villa-Lobos  (1887-1959)\nAlma Brasileira   -   Music of Villa-Lo,1996,Bachianas Brasileiras No. 4 - Preludio (Introdu  o) : Lento,Bachianas Brasileiras No. 4 - Coral (Canto do Sert o) : Largo,Bachianas Brasileiras No. 4 - Aria (Cantiga) : Moderato,Bachianas Brasileiras No. 4 - Danza (Miudinho) : Molto animato,5867
5889,ae089c0d,Mormon Tabernacle Choir,It's Christmas,misc,,,,Deck The Hall,Away In The Manger,O Holy Night,The First Noel,4975
5912,ae099f0d,Citizen Fish,Free Souls in a Trapped Environment,misc,Ska,,1990,Supermarket Song,Break into a Run/Rainbows,Possession,Small Scale Wars,5912
5921,ae0a070d,Yothu Yindi,Tribal Voice,misc,,,1992,Gapu,Treaty,Dharpa,Tribal Voice,5921
5959,ae0bd71a,Console,Rocket in the Pocket,misc,Electronic,Console Band : Christian Schr cker - Michael Schwaiger - Axel Fis,1999,My Dog Eats Beats,14 Zero Zero,Gulls Galore,Dolphin Dos,5371
5988,ae0dae0c,Cappella,U Got 2 Know,misc,Dance,YEAR: 1994,1994,U Got 2 Know,U Got 2 Let The Music,Don't Be Proud,U & Me,5988
6102,af09900e,Husker Du,Flip Your Wig,misc,Hardcore,,1985,Flip Your Wig,Every Everything,Makes No Sense at All,Hate Paper Doll,6102
6116,af0a210c,Amy Grant,A Christmas To Remember,misc,Christmas,YEAR: 1999,1999,A Christmas To Remember,Christmas Can't Be Very Far Away,Silent Night,Christmas Lullaby (I Will Lead You Home),4613
6162,af0c3a0c,Ub40,Homegrown,misc,Reggae,,2003,So Destructive,I Knew You,Drop On By,Someone Like Me,6162
6174,af0ca00c,Shane Barnard,Psalms,misc,,,,Unto you,Waiting Room,Psalm 13,Psalm 143 (Revive Me),2619
6210,af0e970c,METALLICA,METALLICA,misc,,,,Enter Sandman,Sad But True,Holier Than Thou,The Unforgiven,3134
6246,af114b0d,Beautiful World,In Existence,misc,,YEAR: 1994,1994,In The Beginning,In Existence,Evolution,Magicien du Bonheur,6246
6272,a0083c0c,The Beatles,Let It Be,rock,Rock,,1970,Two Of Us,Dig A Pony,Across The Universe,I Me Mine,6272
6314,a00a560c,Lenny Kravitz,Lenny,rock,Rock,YEAR: 2001 ID3G:  17,2001,Battlefield of love,If i could fall in love,Yesterday is gone (My dear Kay),Stillness of heart,6314
6316,a00a6d0c,Clawfinger,Use Your Brain,rock,Crossover,YEAR: 1995 ID3G:  17,1995,Power,Pay The Bill,Pin Me Down,Wipe My Ass,6316
6339,a00b670c,The Smithereens,A Date With The Smithereens,rock,,,,War For My Mind,Everything I Have Is Blue,Miles From Nowhere,Afternoon Tea,6339
6354,a00c1c0b,Jethro Tull,Aqualung (24K Gold Disc),rock,pop,,1997,Aqualung,Cross-Eyed Mary,Cheap Day Return,Mother Goose,6354
6358,a00c380b,Pantera,Vulgar Display of Power,rock,,,,Mouth for War,A New Level,Walk,Fucking Hostile,6358
6374,a00ce30c,Maxwell,NOW,rock,R&B,YEAR: 2001,2001,Temporary,No one,Was my girl,Get to know ya,6374
6377,a00d020b,Depeche Mode,The Singles 86>98 (Disc 2),rock,New Age,YEAR: 1998,1998,I Feel You,Walking In My Shoes,Condemnation,In Your Room,3757
6382,a00d390e,Staind,Break The Cycle,rock,Rock,,2001,Open Your Eyes,Pressure,Fade,It's Been Awhile,6382
